c_label,size,patch,nprocs,rep,runtime
benchmark,120,24,1,0.16867545619606972,1
benchmark,120,24,1,0.16968251951038837,2
benchmark,120,24,1,0.1692374236881733,3
benchmark,120,24,2,0.09171252138912678,1
benchmark,120,24,2,0.09274474903941154,2
benchmark,120,24,2,0.09173965826630592,3
benchmark,120,24,4,0.06130513921380043,1
benchmark,120,24,4,0.06075320765376091,2
benchmark,120,24,4,0.060672760009765625,3
benchmark,120,24,8,0.047177061438560486,1
benchmark,120,24,8,0.04707232676446438,2
benchmark,120,24,8,0.04745412804186344,3
benchmark,120,24,16,0.05434095486998558,1
benchmark,120,24,16,0.05453536659479141,2
benchmark,120,24,16,0.05445794202387333,3
benchmark,120,24,24,0.06581983715295792,1
benchmark,120,24,24,0.06604835763573647,2
benchmark,120,24,24,0.065487215295434,3
benchmark,120,24,32,0.07803696766495705,1
benchmark,120,24,32,0.07738887891173363,2
benchmark,120,24,32,0.07757818140089512,3
benchmark,1030,24,1,11.666679596528411,1
benchmark,1030,24,1,11.744081128388643,2
benchmark,1030,24,1,11.72541687451303,3
benchmark,1030,24,2,5.760633574798703,1
benchmark,1030,24,2,5.757566414773464,2
benchmark,1030,24,2,5.837625049054623,3
benchmark,1030,24,4,2.9013571832329035,1
benchmark,1030,24,4,3.010750075802207,2
benchmark,1030,24,4,2.90367547981441,3
benchmark,1030,24,8,1.4799704924225807,1
benchmark,1030,24,8,1.4789957236498594,2
benchmark,1030,24,8,1.47435063123703,3
benchmark,1030,24,16,0.7820487357676029,1
benchmark,1030,24,16,0.8010910209268332,2
benchmark,1030,24,16,0.783744415268302,3
benchmark,1030,24,24,0.5815948247909546,1
benchmark,1030,24,24,0.5689534731209278,2
benchmark,1030,24,24,0.5793405398726463,3
benchmark,1030,24,32,0.5116833914071321,1
benchmark,1030,24,32,0.5095908921211958,2
benchmark,1030,24,32,0.4971843287348747,3
student,120,24,1,0.17972936294972897,1
student,120,24,1,0.18378996849060059,2
student,120,24,1,0.1819866318255663,3
student,120,24,2,0.09833461232483387,1
student,120,24,2,0.09870561584830284,2
student,120,24,2,0.09776720032095909,3
student,120,24,4,0.0693162139505148,1
student,120,24,4,0.06942171789705753,2
student,120,24,4,0.0692206360399723,3
student,120,24,8,0.0526776984333992,1
student,120,24,8,0.05253349244594574,2
student,120,24,8,0.05316764861345291,3
student,120,24,16,0.06081944517791271,1
student,120,24,16,0.06207536906003952,2
student,120,24,16,0.061018552631139755,3
student,120,24,24,0.0728097464889288,1
student,120,24,24,0.07271291688084602,2
student,120,24,24,0.07304399833083153,3
student,120,24,32,0.08483337052166462,1
student,120,24,32,0.08496689610183239,2
student,120,24,32,0.08384602144360542,3
student,1030,24,1,12.464799370616674,1
student,1030,24,1,12.334889570251107,2
student,1030,24,1,12.375423196703196,3
student,1030,24,2,6.142282130196691,1
student,1030,24,2,6.156046619638801,2
student,1030,24,2,6.186422873288393,3
student,1030,24,4,3.124377241358161,1
student,1030,24,4,3.1285787988454103,2
student,1030,24,4,3.1264472492039204,3
student,1030,24,8,1.6013493109494448,1
student,1030,24,8,1.5739205684512854,2
student,1030,24,8,1.5773368868976831,3
student,1030,24,16,0.8416973315179348,1
student,1030,24,16,0.8377355020493269,2
student,1030,24,16,0.8424756973981857,3
student,1030,24,24,0.6119680237025023,1
student,1030,24,24,0.607437688857317,2
student,1030,24,24,0.6093536801636219,3
student,1030,24,32,0.5312215965241194,1
student,1030,24,32,0.5253407191485167,2
student,1030,24,32,0.5236177388578653,3
